,country,currency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl
0,,,,,,,,,,,,
1,CN,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,2008-01-29,,39.02539,ATA Creativity Global,861065181133,47.592384,AACG,http://www.ata.net.cn
2,US,,NASDAQ NMS - GLOBAL MARKET,N/A,2020-07-14,,0,Artius Acquisition Inc,12123097668,0,AACQ,
3,US,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,879.3619,Artius Acquisition Inc,12123097668,108.675,AACQU,
4,,,,,,,,,,,,
5,US,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,2013-12-09,https://static.finnhub.io/logo/faa9de54-81b2-11ea-bbda-00000000092a.png,6408.76,American Airlines Group Inc,18179631234,508.603895,AAL,https://www.aa.com/homePage.do?locale=en_US&pref=true
6,US,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,1980-01-16,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,46.0215,Atlantic American Corp,14042665500,20.454001,AAME,http://www.atlam.com/
7,US,USD,NASDAQ NMS - GLOBAL MARKET,Communications,2013-09-26,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,231.6112,Applied Optoelectronics Inc,12812951800,22.773963,AAOI,http://ao-inc.com/
8,US,USD,NASDAQ NMS - GLOBAL MARKET,Building,1991-01-03,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,3232.907,Aaon Inc,19185832266,52.261676,AAON,https://www.aaon.com/
9,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,1979619,Apple Inc,14089961010,17102.536,AAPL,https://www.apple.com/
10,US,USD,NASDAQ NMS - GLOBAL MARKET,Logistics & Transportation,1995-08-11,https://static.finnhub.io/logo/8b74bf8a-80df-11ea-8463-00000000092a.png,1646.309,Atlas Air Worldwide Holdings Inc,19147018000,26.136036,AAWW,https://www.atlasair.com/
11,,,,,,,,,,,,
12,US,USD,NASDAQ NMS - GLOBAL MARKET,Aerospace & Defense,2001-05-08,https://static.finnhub.io/logo/cae8c69c-80e0-11ea-8465-00000000092a.png,6532.272,Axon Enterprise Inc,14809910797,63.475579,AAXN,https://www.axon.com/
13,US,USD,NASDAQ NMS - GLOBAL MARKET,Banking,1994-05-19,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,2022.87,Ameris Bancorp,14046396500,69.490546,ABCB,https://www.amerisbank.com/
14,,,,,,,,,,,,
15,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,1980-09-19,https://static.finnhub.io/logo/33b2a5a8-80d1-11ea-8de8-00000000092a.png,113.6022,Abeona Therapeutics Inc,16468134701,84.777741,ABEO,https://abeonatherapeutics.com/
16,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2000-07-21,,24.21166,ARCA Biopharma Inc,17209402200,5.905284,ABIO,http://arcabio.com/
17,US,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,1987-07-29,https://static.finnhub.io/logo/8b2cc7cc-80df-11ea-b8c7-00000000092a.png,12677.2,ABIOMED Inc,19787775410,45.047262,ABMD,http://www.abiomed.com/
18,,,,,,,,,,,,
19,US,USD,NASDAQ NMS - GLOBAL MARKET,Banking,2015-10-08,https://static.finnhub.io/logo/b34c7c52-80d2-11ea-8e19-00000000092a.png,570.2463,Allegiance Bancshares Inc,12818943200,20.431612,ABTX,http://ir.allegiancebank.com/
20,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2010-11-13,https://static.finnhub.io/logo/0068df02-80ca-11ea-abb6-00000000092a.png,225.7368,Arbutus Biopharma Corp,12674690914,80.909259,ABUS,http://www.arbutusbio.com/
21,US,,NASDAQ NMS - GLOBAL MARKET,N/A,2020-10-23,,0,Acies Acquisition Corp,19179921946,0,ACACU,
22,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2004-05-27,,6857.772,ACADIA Pharmaceuticals Inc,18585582871,158.855038,ACAD,http://www.acadia-pharm.com/
23,US,USD,NASDAQ NMS - GLOBAL MARKET,N/A,2019-02-22,,388.8419,Acamar Partners Acquisition Corp,17862646680,38.196652,ACAM,https://www.acamarpartners.com/
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,US,USD,NASDAQ NMS - GLOBAL MARKET,Banking,2015-11-02,https://static.finnhub.io/logo/0fed2bf4-80d3-11ea-b005-00000000092a.png,320.4065,Atlantic Capital Bancshares Inc,14049956050,21.605292,ACBI,http://atlanticcapitalbank.com
27,US,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,2020-07-02,,2279.855,Accolade Inc,16108342989,54.269342,ACCD,https://www.accolade.com
28,US,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2006-09-01,https://static.finnhub.io/logo/da0a6c40-80e0-11ea-81ae-00000000092a.png,33.11739,Acer Therapeutics Inc,18449026100,11.912731,ACER,https://acertx.com/
29,US,,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2018-01-26,,0,Adicet Bio Inc,16174822333,0,ACET,https://www.adicetbio.com/
30,US,,NASDAQ NMS - GLOBAL MARKET,N/A,2020-07-28,,0,ACE Convergence Acquisition Corp,13026332102,0,ACEV,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,BM,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,1995-09-13,https://static.finnhub.io/logo/8c4d69f6-80df-11ea-8233-00000000092a.png,12913.98,Arch Capital Group Ltd,4412789250,405.97228,ACGL,http://www.archcapgroup.com
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,US,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,2012-01-11,,2774.76,Acadia Healthcare Company Inc,16158616000,88.963135,ACHC,https://www.acadiahealthcare.com/
37,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,1995-10-12,https://static.finnhub.io/logo/bf32de26-80e0-11ea-962e-00000000092a.png,32.2131,Achieve Life Sciences Inc,14256861500,3.587205,ACHV,http://achievelifesciences.com/
38,US,USD,NASDAQ NMS - GLOBAL MARKET,Communications,2016-05-13,https://static.finnhub.io/logo/67393ba8-80d3-11ea-86f1-00000000092a.png,2828.816,Acacia Communications Inc,19789384896,42.039179,ACIA,https://acacia-inc.com/
39,CH,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2016-09-23,https://static.finnhub.io/logo/f93a1c3e-80db-11ea-a2b4-00000000092a.png,359.058,AC Immune SA,41213459121,71.741285,ACIU,https://www.acimmune.com/
40,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1993-11-02,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,3740.741,ACI Worldwide Inc,12394034600,116.388958,ACIW,http://www.aciworldwide.com
41,US,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,2000-07-11,https://static.finnhub.io/logo/88b5f730-80df-11ea-94d0-00000000092a.png,771.0375,Axcelis Technologies Inc,19787874000,33.46517,ACLS,http://www.axcelis.com
42,US,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,2017-11-03,,1228.552,ACM Research Inc,15104453700,18.074912,ACMR,http://www.acmrcsh.com/
43,US,USD,NASDAQ NMS - GLOBAL MARKET,Banking,1993-10-27,,193.4824,ACNB Corp,17173343161,8.695839,ACNB,https://www.acnb.com/
44,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2006-02-10,https://static.finnhub.io/logo/8d3dceec-80df-11ea-98bc-00000000092a.png,40.05822,Acorda Therapeutics Inc,19143474300,47.968173,ACOR,http://www.acorda.com
45,US,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2015-10-07,https://static.finnhub.io/logo/a0e2bf10-80d2-11ea-bde8-00000000092a.png,183.7079,Aclaris Therapeutics Inc,14843247933,42.72278,ACRS,https://www.aclaristx.com/
46,US,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2011-02-11,https://static.finnhub.io/logo/04b72c22-80ca-11ea-a317-00000000092a.png,158.9705,AcelRx Pharmaceuticals Inc,16502163500,90.324147,ACRX,http://www.acelrx.com
47,CA,USD,TSX VENTURE EXCHANGE - NEX,Pharmaceuticals,2011-03-31,https://static.finnhub.io/logo/c96e3df4-80ca-11ea-89e6-00000000092a.png,25.16904,Acasti Pharma Inc,14506864555,96.892537,ACST.V,https://www.acastipharma.com/
48,,,,,,,,,,,,
49,US,,NASDAQ NMS - GLOBAL MARKET,N/A,2020-09-23,,0,ArcLight Clean Transition Corp,16175316300,0,ACTCU,
50,,,,,,,,,,,,
51,US,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,1995-07-05,https://static.finnhub.io/logo/9a284398-80df-11ea-8a34-00000000092a.png,165.0862,Acacia Research Corp,19494808300,49.279453,ACTG,http://acaciaresearch.com/
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,GB,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2015-05-06,https://static.finnhub.io/logo/c2ef9c38-80d1-11ea-b201-00000000092a.png,742.3746,Adaptimmune Therapeutics PLC,441235430000,927.968286,ADAP,https://www.adaptimmune.com/
55,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1986-01-08,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,234342.7,Adobe Inc,14085366000,479.718983,ADBE,https://www.adobe.com/
56,US,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,2004-10-14,,82.03037,Advanced Emissions Solutions Inc,17205983500,18.558907,ADES,http://www.advancedemissionssolutions.com/
57,US,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-04-03,https://static.finnhub.io/logo/638498fa-80eb-11ea-8d04-00000000092a.png,45899.32,Analog Devices Inc,17813294700,369.559767,ADI,http://www.analog.com/
58,US,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2018-07-27,https://static.finnhub.io/logo/e0366ab8-80da-11ea-9da8-00000000092a.png,24.40972,Adial Pharmaceuticals Inc,14344229800,13.560957,ADIL,https://www.adialpharma.com/
59,,,,,,,,,,,,
60,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2013-10-17,https://static.finnhub.io/logo/cba1b436-80d0-11ea-bae6-00000000092a.png,194.2875,ADMA Biologics Inc,12014785552,86.349981,ADMA,https://www.admabiologics.com/
61,US,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,1995-08-14,https://static.finnhub.io/logo/2653d72e-80cf-11ea-b9db-00000000092a.png,76.10619,Adamis Pharmaceuticals Corp,18589972400,93.657628,ADMP,http://www.adamispharmaceuticals.com/
62,US,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2014-04-10,,100.4005,Adamas Pharmaceuticals Inc,15104503554,28.28184,ADMS,https://adamaspharma.com/
63,,,,,,,,,,,,
64,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1961-09-01,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,64133.04,Automatic Data Processing Inc,19739745000,429.846075,ADP,https://www.adp.com/
