,index,Unnamed: 0,country,currency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl
0,9,9,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,1979619.0,Apple Inc,14089961010.0,17102.536,AAPL,https://www.apple.com/
1,40,40,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1993-11-02,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,3740.741,ACI Worldwide Inc,12394034600.0,116.388958,ACIW,http://www.aciworldwide.com
2,55,55,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1986-01-08,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,234342.7,Adobe Inc,14085366000.0,479.718983,ADBE,https://www.adobe.com/
3,64,64,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1961-09-01,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,64133.04,Automatic Data Processing Inc,19739745000.0,429.846075,ADP,https://www.adp.com/
4,67,67,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1985-05-01,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,55789.01,Autodesk Inc,14155075000.0,219.27918300000002,ADSK,https://www.autodesk.com/
5,87,87,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2013-04-15,https://static.finnhub.io/logo/d47b30ac-80da-11ea-acae-00000000092a.png,161.4151,AudioEye Inc,18663315324.0,9.7121,AEYE,https://www.audioeye.com/
6,113,113,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1971-01-08,https://static.finnhub.io/logo/9f139b98-80df-11ea-bde1-00000000092a.png,630.3119,Agilysys Inc,17708107800.0,23.589517999999998,AGYS,https://www.agilysys.com/
7,132,132,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-10-29,,17368.74,Akamai Technologies Inc,16174443000.0,162.70486100000002,AKAM,https://www.akamai.com/
8,153,153,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-04-03,,45.12489,ALJ Regional Holdings Inc,12128830083.0,42.172791,ALJJ,http://www.aljregionalholdings.com/
9,157,157,IL,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2006-11-16,https://static.finnhub.io/logo/9564945e-80df-11ea-9144-00000000092a.png,0.0,Allot Ltd,97297619200.0,0.0,ALLT,https://www.allot.com
